"ID","NAME","LINK","TYPE","EXTRAS","DISCOVERED","ERROR"
"6706f46415c2b9798b2b0c95","All Pigs Must Die","All Pigs Must Die (band)","group_or_band",null,true,"NoMusicalInfoboxException"
"6708329e3a9193be0699aa50","Allan Ramsay","","person",null,false,""
"67083094f5951699062f8f06","Alvino Bennet","","person",null,false,""
"677813939fe816b028386078","Amen","Amen (American band)","group_or_band",null,false,""
"670833413a9193be0699ab48","Amery Smith","","person",null,false,""
"6708305ef5951699062f8ec7","Amir Derakh","Amir Derakh","person",null,false,""
"6706f49215c2b9798b2b0ccf","Ana Lenchantin","Ana Lenchantin","person",{"instrument":[{"link":"Cello","name":"Cello"}],"website":"[http://www.myspace.com/analenchantin Myspace Profile]"},true,""
"67083048f5951699062f8eb6","Andre Troxx","","person",null,false,""
"67082e685f2a9b4b88ae089e","Andreas Kisser","Andreas Kisser","person",null,false,""
"6777fbd91ea44d07c041e074","Andrew Seward","","person",null,false,""
"6706f2af15c2b9798b2b0a7c","Andrew Watt","Andrew Watt (musician)","person",null,true,"NoMusicalInfoboxException"
"67083103f5951699062f8fa1","Andy Cohen","","person",null,false,""
"6706f60715c2b9798b2b0ea6","Andy Coulter","","person",null,true,"LookupError"
"677813b08ef87cd65604ab7a","Andy Kubiszewski","Andy Kubiszewski","person",null,false,""
"6706f2f915c2b9798b2b0ad9","Andy Mitchell","","person",null,true,"RedirectException"
"670830d9f5951699062f8f60","Andy Morin","","person",null,false,""
"670831b0f5951699062f9018","Andy Rogers","","person",null,false,""
"6706f30515c2b9798b2b0af4","Andy Silvester","Andy Silvester","person",{"birth_name":"Andrew Frederick Silvester","birth_date":"{{birth date and age|1947|6|16|df=y}}","instrument":[{"name":"Bass guitar"}],"years_active":"1965&ndash;present","associated_acts":[{"link":"Chicken Shack","name":"Chicken Shack"},{"link":"Savoy Brown","name":"Savoy Brown"},{"link":"Big Town Playboys","name":"Big Town Playboys"},{"link":"Big Wha-Koo","name":"Big Wha-Koo"},{"link":"Danny Kirwan","name":"Danny Kirwan"}]},true,""
"670831ddf5951699062f904b","Angus Young","Angus Young","person",null,false,""
"6706f5b215c2b9798b2b0e3c","Animetal USA","Animetal USA","group_or_band",{"origin":"[[Japan]]","years_active":"{{start date|2011}}–present","associated_acts":[{"link":"Loudness (band)","name":"Loudness"}]},true,""
"6706f2ca15c2b9798b2b0a94","Anna Prior","","person",null,true,"LookupError"
"677813929fe816b028386075","Another Animal","Another Animal","group_or_band",null,false,""
"6706f36415c2b9798b2b0b65","Antemasque","Antemasque (band)","group_or_band",null,true,"NoMusicalInfoboxException"
"67083229f5951699062f90af","Anthony ""Tiny"" Biuso","","person",null,false,""
"670833413a9193be0699ab49","Anthony Gallo","Anthony Gallo","person",null,false,""
